Quantify Compound Summary Report 

Printed Fri Apr 20 12:27:30 2012

Compound 1:  L-histidine

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	ug/ml	%Dev	Acq.Date	Acq.Time	ID
80	80	PR01_EXAMPLE_AAC_01QC_B1	QC	QC	0.000	1.53	25395	147170	0.102	bb	0.2		12-Apr-12	19:43:59	Batch01_013
57	57	PR01_EXAMPLE_AAC_01Blank_B1	Blank	Solvent		1.53	22	5	2.382	bb	262.0		12-Apr-12	19:54:25	Batch01_014
81	81	PR01_EXAMPLE_AAC_01QC_B2	QC	QC	0.000	1.50	24693	146358	0.100	bbI	0.0		12-Apr-12	20:04:50	Batch01_015
49	49	PR01_EXAMPLE_AAC_0125_A1	S40-3mnd-0	Analyte		1.52	21643	150339	0.085	bbI	0.0		12-Apr-12	20:15:15	Batch01_016
54	54	PR01_EXAMPLE_AAC_0142_A1	C10-10	Analyte		1.52	23143	145225	0.094	bbI	0.0		12-Apr-12	20:25:40	Batch01_017
53	53	PR01_EXAMPLE_AAC_0141_A1	C9-10	Analyte		1.53	28738	142752	0.119	bb	2.1		12-Apr-12	20:36:06	Batch01_018
45	45	PR01_EXAMPLE_AAC_0121_B1	S25-3mnd-0	Analyte		1.52	28585	148356	0.114	bb	1.6		12-Apr-12	20:46:31	Batch01_019
41	41	PR01_EXAMPLE_AAC_0107_A1	S67-M2-10	Analyte		1.52	24633	148565	0.098	bbI	0.0		12-Apr-12	20:56:56	Batch01_020
40	40	PR01_EXAMPLE_AAC_0106_A1	S67-M1-10	Analyte		1.53	27488	146008	0.111	bb	1.3		12-Apr-12	21:07:21	Batch01_021
44	44	PR01_EXAMPLE_AAC_0121_A1	S25-3mnd-0	Analyte		1.54	24926	149847	0.098	bbI	0.0		12-Apr-12	21:17:46	Batch01_022
55	55	PR01_EXAMPLE_AAC_0143_A1	C11-10	Analyte		1.54	26711	143686	0.110	bb	1.1		12-Apr-12	21:28:12	Batch01_023
50	50	PR01_EXAMPLE_AAC_0134_A1	C2-10	Analyte		1.55	26043	147115	0.104	bb	0.5		12-Apr-12	21:38:38	Batch01_024
82	82	PR01_EXAMPLE_AAC_01QC_C1	QC	QC	0.000	1.55	23489	145092	0.096	bbI	0.0		12-Apr-12	21:49:03	Batch01_025
17	17	PR01_EXAMPLE_AAC_0058_A1	S44-M1-10	Analyte		1.54	21430	147021	0.086	bbI	0.0		12-Apr-12	21:59:28	Batch01_026
18	18	PR01_EXAMPLE_AAC_0059_A1	S44-M2-10	Analyte		1.54	17174	151461	0.067	bbI	0.0		12-Apr-12	22:09:53	Batch01_027
8	8	PR01_EXAMPLE_AAC_0034_B1	S30-M1-10	Analyte		1.54	26557	144844	0.108	bb	0.9		12-Apr-12	22:20:18	Batch01_028
19	19	PR01_EXAMPLE_AAC_0060_A1	S44-3mnd-10	Analyte		1.54	21536	148353	0.086	bbI	0.0		12-Apr-12	22:30:44	Batch01_029
42	42	PR01_EXAMPLE_AAC_0118_A1	S6-3mnd-0	Analyte		1.54	22469	147841	0.090	bbI	0.0		12-Apr-12	22:41:09	Batch01_030
7	7	PR01_EXAMPLE_AAC_0034_A1	S30-M1-10	Analyte		1.53	24273	146806	0.098	bbI	0.0		12-Apr-12	22:51:34	Batch01_031
10	10	PR01_EXAMPLE_AAC_0036_A1	S30-3mnd-10	Analyte		1.53	19711	148496	0.078	bbI	0.0		12-Apr-12	23:01:59	Batch01_032
9	9	PR01_EXAMPLE_AAC_0035_A1	S30-M2-10	Analyte		1.53	19227	144687	0.078	bbI	0.0		12-Apr-12	23:12:24	Batch01_033
6	6	PR01_EXAMPLE_AAC_0023_B1	S14-M2-10	Analyte		1.54	19801	143742	0.081	bbI	0.0		12-Apr-12	23:22:49	Batch01_034
83	83	PR01_EXAMPLE_AAC_01QC_C2	QC	QC	0.000	1.55	23726	147108	0.095	bbI	0.0		12-Apr-12	23:33:14	Batch01_035
13	13	PR01_EXAMPLE_AAC_0042_A1	S32-3mnd-10	Analyte		1.55	18268	147028	0.073	bbI	0.0		12-Apr-12	23:43:39	Batch01_036
12	12	PR01_EXAMPLE_AAC_0041_A1	S32-M2-10	Analyte		1.54	19640	144368	0.080	bbI	0.0		12-Apr-12	23:54:04	Batch01_037
11	11	PR01_EXAMPLE_AAC_0040_A1	S32-M1-10	Analyte		1.55	24610	146584	0.099	bbI	0.0		13-Apr-12	00:04:29	Batch01_038
1	1	PR01_EXAMPLE_AAC_0013_A1	S11-M1-10	Analyte		1.53	23063	145448	0.094	bbI	0.0		13-Apr-12	00:14:54	Batch01_039
4	4	PR01_EXAMPLE_AAC_0015_A1	S11-3mnd-10	Analyte		1.54	25796	146159	0.104	bb	0.5		13-Apr-12	00:25:19	Batch01_040
3	3	PR01_EXAMPLE_AAC_0014_A1	S11-M2-10	Analyte		1.53	19420	145748	0.079	bbI	0.0		13-Apr-12	00:35:45	Batch01_041
46	46	PR01_EXAMPLE_AAC_0122_A1	S27-3mnd-0	Analyte		1.55	20840	143666	0.086	bbI	0.0		13-Apr-12	00:46:11	Batch01_042
35	35	PR01_EXAMPLE_AAC_0084_A1	S58-3mnd-10	Analyte		1.54	23556	148479	0.094	bbI	0.0		13-Apr-12	00:56:37	Batch01_043
33	33	PR01_EXAMPLE_AAC_0082_A1	S58-M1-10	Analyte		1.53	21818	145318	0.089	bbI	0.0		13-Apr-12	01:07:02	Batch01_044
34	34	PR01_EXAMPLE_AAC_0083_A1	S58-M2-10	Analyte		1.53	23060	150983	0.090	bbI	0.0		13-Apr-12	01:17:28	Batch01_045
84	84	PR01_EXAMPLE_AAC_01QC_D1	QC	QC	0.000	1.54	24885	143032	0.103	bb	0.3		13-Apr-12	01:27:53	Batch01_046
15	15	PR01_EXAMPLE_AAC_0050_A1	S35-M2-10	Analyte		1.53	19941	143009	0.082	bbI	0.0		13-Apr-12	01:38:18	Batch01_047
16	16	PR01_EXAMPLE_AAC_0051_A1	S35-3mnd-10	Analyte		1.54	28060	143946	0.115	bb	1.7		13-Apr-12	01:48:43	Batch01_048
14	14	PR01_EXAMPLE_AAC_0049_A1	S35-M1-10	Analyte		1.54	25735	145228	0.105	bb	0.5		13-Apr-12	01:59:08	Batch01_049
38	38	PR01_EXAMPLE_AAC_0098_A1	S64-M2-10	Analyte		1.54	19525	146101	0.079	bbI	0.0		13-Apr-12	02:09:34	Batch01_050
39	39	PR01_EXAMPLE_AAC_0099_A1	S64-3mnd-10	Analyte		1.53	24326	143027	0.100	bb	0.0		13-Apr-12	02:20:00	Batch01_051
37	37	PR01_EXAMPLE_AAC_0097_A1	S64-M1-10	Analyte		1.53	23890	147393	0.096	bbI	0.0		13-Apr-12	02:30:25	Batch01_052
23	23	PR01_EXAMPLE_AAC_0063_A1	S45-3mnd-10	Analyte		1.52	25243	147148	0.101	bb	0.1		13-Apr-12	02:40:50	Batch01_053
22	22	PR01_EXAMPLE_AAC_0062_A1	S45-M2-10	Analyte		1.53	20907	145160	0.085	bbI	0.0		13-Apr-12	02:51:15	Batch01_054
20	20	PR01_EXAMPLE_AAC_0061_A1	S45-M1-10	Analyte		1.54	23481	144176	0.096	bbI	0.0		13-Apr-12	03:01:40	Batch01_055
85	85	PR01_EXAMPLE_AAC_01QC_D2	QC	QC	0.000	1.53	24900	142803	0.103	bb	0.3		13-Apr-12	03:12:05	Batch01_056
36	36	PR01_EXAMPLE_AAC_0085_B1	S59-M1-10	Analyte		1.54	21605	143622	0.089	bbI	0.0		13-Apr-12	03:22:30	Batch01_057
31	31	PR01_EXAMPLE_AAC_0077_A1	S52-M2-10	Analyte		1.53	20272	139650	0.086	bbI	0.0		13-Apr-12	03:32:56	Batch01_058
32	32	PR01_EXAMPLE_AAC_0078_A1	S52-3mnd-10	Analyte		1.53	21815	144865	0.089	bbI	0.0		13-Apr-12	03:43:21	Batch01_059
30	30	PR01_EXAMPLE_AAC_0076_A1	S52-M1-10	Analyte		1.53	21632	148936	0.086	bbI	0.0		13-Apr-12	03:53:46	Batch01_060
28	28	PR01_EXAMPLE_AAC_0074_A1	S51-M2-10	Analyte		1.53	19268	149872	0.076	bbI	0.0		13-Apr-12	04:04:11	Batch01_061
27	27	PR01_EXAMPLE_AAC_0073_A1	S51-M1-10	Analyte		1.54	23162	147544	0.093	bbI	0.0		13-Apr-12	04:14:36	Batch01_062
21	21	PR01_EXAMPLE_AAC_0061_B1	S45-M1-10	Analyte		1.53	26009	146739	0.105	bb	0.5		13-Apr-12	04:25:01	Batch01_063
29	29	PR01_EXAMPLE_AAC_0075_A1	S51-3mnd-10	Analyte		1.53	21255	150195	0.083	bbI	0.0		13-Apr-12	04:35:26	Batch01_064
52	52	PR01_EXAMPLE_AAC_0140_A1	C8-10	Analyte		1.53	33129	143007	0.137	bb	4.2		13-Apr-12	04:45:51	Batch01_065
86	86	PR01_EXAMPLE_AAC_01QC_E1	QC	QC	0.000	1.53	26349	148525	0.105	bb	0.5		13-Apr-12	04:56:16	Batch01_066
43	43	PR01_EXAMPLE_AAC_0119_A1	S20-3mnd-0	Analyte		1.54	21508	145518	0.087	bbI	0.0		13-Apr-12	05:06:41	Batch01_067
5	5	PR01_EXAMPLE_AAC_0016_B1	S12-M1-10	Analyte		1.53	26450	144188	0.108	bb	0.9		13-Apr-12	05:17:06	Batch01_068
48	48	PR01_EXAMPLE_AAC_0124_A1	S39-3mnd-0	Analyte		1.54	23054	143908	0.095	bbI	0.0		13-Apr-12	05:27:31	Batch01_069
2	2	PR01_EXAMPLE_AAC_0013_B1	S11-M1-10	Analyte		1.53	25092	146947	0.101	bb	0.1		13-Apr-12	05:37:56	Batch01_070
51	51	PR01_EXAMPLE_AAC_0136_A1	C4-10	Analyte		1.52	27513	145388	0.112	bb	1.3		13-Apr-12	05:48:21	Batch01_071
25	25	PR01_EXAMPLE_AAC_0068_A1	S47-M2-10	Analyte		1.52	19343	148413	0.077	bbI	0.0		13-Apr-12	05:58:46	Batch01_072
26	26	PR01_EXAMPLE_AAC_0069_A1	S47-3mnd-10	Analyte		1.53	22942	148725	0.091	bbI	0.0		13-Apr-12	06:09:11	Batch01_073
24	24	PR01_EXAMPLE_AAC_0067_A1	S47-M1-10	Analyte		1.53	22489	147699	0.090	bbI	0.0		13-Apr-12	06:19:36	Batch01_074
47	47	PR01_EXAMPLE_AAC_0122_B1	S27-3mnd-0	Analyte		1.53	23829	149150	0.094	bbI	0.0		13-Apr-12	06:30:02	Batch01_075
87	87	PR01_EXAMPLE_AAC_01QC_F1	QC	QC	0.000	1.52	24367	148230	0.097	bbI	0.0		13-Apr-12	06:40:26	Batch01_076
58	58	PR01_EXAMPLE_AAC_01Blank_C1	Blank	Solvent		1.50	13	3	2.548	bb	281.1		13-Apr-12	06:50:51	Batch01_077
88	88	PR01_EXAMPLE_AAC_01QC_F2	QC	QC	0.000	1.52	23962	145383	0.097	bbI	0.0		13-Apr-12	07:01:16	Batch01_078
74	74	PR01_EXAMPLE_AAC_01CAL5_A2	Calibration	Standard	16.180	1.53	57067	147144	0.229	bb	14.8	-8.7	13-Apr-12	07:11:41	Batch01_079
76	76	PR01_EXAMPLE_AAC_01CAL7_A2	Calibration	Standard	64.710	1.53	157476	139605	0.666	bb	64.9	0.3	13-Apr-12	07:22:06	Batch01_080
77	77	PR01_EXAMPLE_AAC_01CAL8_A2	Calibration	Standard	129.420	1.53	305130	141067	1.276	bb	135.0	4.3	13-Apr-12	07:32:31	Batch01_081
73	73	PR01_EXAMPLE_AAC_01CAL4_A2	Calibration	Standard	8.090	1.54	40596	142568	0.168	bb	7.8	-3.7	13-Apr-12	07:42:56	Batch01_082
69	69	PR01_EXAMPLE_AAC_01CAL0_A2	Calibration	Standard	0.000	1.53	26672	152948	0.103	bb	0.3		13-Apr-12	07:53:21	Batch01_083
71	71	PR01_EXAMPLE_AAC_01CAL2_A2	Calibration	Standard	2.020	1.53	29354	149122	0.116	bb	1.8	-9.2	13-Apr-12	08:03:46	Batch01_084
75	75	PR01_EXAMPLE_AAC_01CAL6_A2	Calibration	Standard	32.350	1.53	88605	138933	0.376	bb	31.7	-2.0	13-Apr-12	08:14:12	Batch01_085
70	70	PR01_EXAMPLE_AAC_01CAL1_A2	Calibration	Standard	1.010	1.54	28754	152200	0.111	bb	1.3	28.5	13-Apr-12	08:24:37	Batch01_086
72	72	PR01_EXAMPLE_AAC_01CAL3_A2	Calibration	Standard	4.040	1.52	32304	145876	0.131	bb	3.5	-13.3	13-Apr-12	08:35:02	Batch01_087
89	89	PR01_EXAMPLE_AAC_01QC_G1	QC	QC	0.000	1.53	25045	145919	0.101	bb	0.1		13-Apr-12	08:45:27	Batch01_088
59	59	PR01_EXAMPLE_AAC_01Blank_D1	Blank	Solvent		1.54	17	3	3.289	bb	366.1		13-Apr-12	08:55:53	Batch01_089
90	90	PR01_EXAMPLE_AAC_01QC_G2	QC	QC	0.000	1.51	23414	141957	0.097	bbI	0.0		13-Apr-12	09:06:17	Batch01_090

Compound 2:  L-4-hydroxy-proline

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	ug/ml	%Dev	Acq.Date	Acq.Time	ID
91	91	PR01_EXAMPLE_AAC_01SST_A1	SST	Analyte		1.34	23	142750	0.000	bbI	0.0		12-Apr-12	16:46:45	Batch01_000
92	92	PR01_EXAMPLE_AAC_01SST_A2	SST	Analyte				141357					12-Apr-12	16:57:10	Batch01_000
93	93	PR01_EXAMPLE_AAC_01SST_A3	SST	Analyte		1.37	26	140665	0.000	bbI	0.0		12-Apr-12	17:07:35	Batch01_000
94	94	PR01_EXAMPLE_AAC_01SST_A4	SST	Analyte		1.43	15	140757	0.000	bbI	0.0		12-Apr-12	17:18:01	Batch01_000
95	95	PR01_EXAMPLE_AAC_01SST_A5	SST	Analyte		1.40	11	142550	0.000	bbI	0.0		12-Apr-12	17:28:27	Batch01_000
78	78	PR01_EXAMPLE_AAC_01QC_A1	QC	QC	0.000	1.43	18475	133671	0.082	bb	0.2		12-Apr-12	17:38:53	Batch01_001
56	56	PR01_EXAMPLE_AAC_01Blank_A1	Blank	Solvent		1.45	17	2	5.920	bb	60.5		12-Apr-12	17:49:18	Batch01_002
79	79	PR01_EXAMPLE_AAC_01QC_A2	QC	QC	0.000	1.44	18611	136249	0.081	bb	0.2		12-Apr-12	17:59:44	Batch01_003
66	66	PR01_EXAMPLE_AAC_01CAL6_A1	Calibration	Standard	11.920	1.43	247838	128031	1.142	bb	11.1	-6.5	12-Apr-12	18:10:09	Batch01_004
62	62	PR01_EXAMPLE_AAC_01CAL2_A1	Calibration	Standard	0.750	1.43	32546	142058	0.135	bb	0.7	-1.9	12-Apr-12	18:20:35	Batch01_005
61	61	PR01_EXAMPLE_AAC_01CAL1_A1	Calibration	Standard	0.370	1.43	26443	147085	0.106	bb	0.4	17.6	12-Apr-12	18:31:01	Batch01_006
63	63	PR01_EXAMPLE_AAC_01CAL3_A1	Calibration	Standard	1.490	1.42	45828	143671	0.188	bb	1.3	-13.8	12-Apr-12	18:41:26	Batch01_007
64	64	PR01_EXAMPLE_AAC_01CAL4_A1	Calibration	Standard	2.980	1.43	74771	140080	0.315	bb	2.6	-13.0	12-Apr-12	18:51:51	Batch01_008
67	67	PR01_EXAMPLE_AAC_01CAL7_A1	Calibration	Standard	23.850	1.42	524279	136692	2.263	bb	22.7	-4.7	12-Apr-12	19:02:17	Batch01_009
60	60	PR01_EXAMPLE_AAC_01CAL0_A1	Calibration	Standard	0.000	1.43	19480	149398	0.077	bb	0.1		12-Apr-12	19:12:43	Batch01_010
65	65	PR01_EXAMPLE_AAC_01CAL5_A1	Calibration	Standard	5.960	1.43	140273	143428	0.577	bb	5.3	-11.0	12-Apr-12	19:23:08	Batch01_011
68	68	PR01_EXAMPLE_AAC_01CAL8_A1	Calibration	Standard	47.700	1.43	1143202	133947	5.035	bb	51.4	7.7	12-Apr-12	19:33:34	Batch01_012
80	80	PR01_EXAMPLE_AAC_01QC_B1	QC	QC	0.000	1.42	20048	147170	0.080	bb	0.2		12-Apr-12	19:43:59	Batch01_013
57	57	PR01_EXAMPLE_AAC_01Blank_B1	Blank	Solvent		1.36	10	5	1.052	bb	10.2		12-Apr-12	19:54:25	Batch01_014
81	81	PR01_EXAMPLE_AAC_01QC_B2	QC	QC	0.000	1.42	19792	146358	0.080	bb	0.2		12-Apr-12	20:04:50	Batch01_015
49	49	PR01_EXAMPLE_AAC_0125_A1	S40-3mnd-0	Analyte		1.43	20079	150339	0.079	bb	0.2		12-Apr-12	20:15:15	Batch01_016
54	54	PR01_EXAMPLE_AAC_0142_A1	C10-10	Analyte		1.43	13759	145225	0.056	bbI	0.0		12-Apr-12	20:25:40	Batch01_017
53	53	PR01_EXAMPLE_AAC_0141_A1	C9-10	Analyte		1.43	29369	142752	0.121	bb	0.6		12-Apr-12	20:36:06	Batch01_018
45	45	PR01_EXAMPLE_AAC_0121_B1	S25-3mnd-0	Analyte		1.44	21548	148356	0.086	bb	0.2		12-Apr-12	20:46:31	Batch01_019
41	41	PR01_EXAMPLE_AAC_0107_A1	S67-M2-10	Analyte		1.42	16486	148565	0.065	bb	0.0		12-Apr-12	20:56:56	Batch01_020
40	40	PR01_EXAMPLE_AAC_0106_A1	S67-M1-10	Analyte		1.44	14652	146008	0.059	bbI	0.0		12-Apr-12	21:07:21	Batch01_021
44	44	PR01_EXAMPLE_AAC_0121_A1	S25-3mnd-0	Analyte		1.45	19268	149847	0.076	bb	0.1		12-Apr-12	21:17:46	Batch01_022
55	55	PR01_EXAMPLE_AAC_0143_A1	C11-10	Analyte		1.45	15252	143686	0.063	bbI	0.0		12-Apr-12	21:28:12	Batch01_023
50	50	PR01_EXAMPLE_AAC_0134_A1	C2-10	Analyte		1.45	13490	147115	0.054	bbI	0.0		12-Apr-12	21:38:38	Batch01_024
82	82	PR01_EXAMPLE_AAC_01QC_C1	QC	QC	0.000	1.45	18304	145092	0.074	bb	0.1		12-Apr-12	21:49:03	Batch01_025
17	17	PR01_EXAMPLE_AAC_0058_A1	S44-M1-10	Analyte		1.45	20914	147021	0.084	bb	0.2		12-Apr-12	21:59:28	Batch01_026
18	18	PR01_EXAMPLE_AAC_0059_A1	S44-M2-10	Analyte		1.44	6497	151461	0.025	bbI	0.0		12-Apr-12	22:09:53	Batch01_027
8	8	PR01_EXAMPLE_AAC_0034_B1	S30-M1-10	Analyte		1.46	21760	144844	0.089	bb	0.3		12-Apr-12	22:20:18	Batch01_028
19	19	PR01_EXAMPLE_AAC_0060_A1	S44-3mnd-10	Analyte		1.45	9539	148353	0.038	bbI	0.0		12-Apr-12	22:30:44	Batch01_029
42	42	PR01_EXAMPLE_AAC_0118_A1	S6-3mnd-0	Analyte		1.44	16503	147841	0.066	bb	0.0		12-Apr-12	22:41:09	Batch01_030
7	7	PR01_EXAMPLE_AAC_0034_A1	S30-M1-10	Analyte		1.43	20584	146806	0.083	bb	0.2		12-Apr-12	22:51:34	Batch01_031
10	10	PR01_EXAMPLE_AAC_0036_A1	S30-3mnd-10	Analyte		1.44	15888	148496	0.063	bbI	0.0		12-Apr-12	23:01:59	Batch01_032
9	9	PR01_EXAMPLE_AAC_0035_A1	S30-M2-10	Analyte		1.45	16988	144687	0.069	bb	0.1		12-Apr-12	23:12:24	Batch01_033
6	6	PR01_EXAMPLE_AAC_0023_B1	S14-M2-10	Analyte		1.45	10823	143742	0.044	bbI	0.0		12-Apr-12	23:22:49	Batch01_034
83	83	PR01_EXAMPLE_AAC_01QC_C2	QC	QC	0.000	1.44	18534	147108	0.074	bb	0.1		12-Apr-12	23:33:14	Batch01_035
13	13	PR01_EXAMPLE_AAC_0042_A1	S32-3mnd-10	Analyte		1.45	12079	147028	0.048	bbI	0.0		12-Apr-12	23:43:39	Batch01_036
12	12	PR01_EXAMPLE_AAC_0041_A1	S32-M2-10	Analyte		1.45	11393	144368	0.047	bbI	0.0		12-Apr-12	23:54:04	Batch01_037
11	11	PR01_EXAMPLE_AAC_0040_A1	S32-M1-10	Analyte		1.45	12552	146584	0.051	bbI	0.0		13-Apr-12	00:04:29	Batch01_038
1	1	PR01_EXAMPLE_AAC_0013_A1	S11-M1-10	Analyte		1.43	12398	145448	0.050	bbI	0.0		13-Apr-12	00:14:54	Batch01_039
4	4	PR01_EXAMPLE_AAC_0015_A1	S11-3mnd-10	Analyte		1.44	22136	146159	0.089	bb	0.3		13-Apr-12	00:25:19	Batch01_040
3	3	PR01_EXAMPLE_AAC_0014_A1	S11-M2-10	Analyte		1.44	19793	145748	0.080	bb	0.2		13-Apr-12	00:35:45	Batch01_041
46	46	PR01_EXAMPLE_AAC_0122_A1	S27-3mnd-0	Analyte		1.44	24253	143666	0.100	bb	0.4		13-Apr-12	00:46:11	Batch01_042
35	35	PR01_EXAMPLE_AAC_0084_A1	S58-3mnd-10	Analyte		1.43	22851	148479	0.091	bb	0.3		13-Apr-12	00:56:37	Batch01_043
33	33	PR01_EXAMPLE_AAC_0082_A1	S58-M1-10	Analyte		1.44	14783	145318	0.060	bbI	0.0		13-Apr-12	01:07:02	Batch01_044
34	34	PR01_EXAMPLE_AAC_0083_A1	S58-M2-10	Analyte		1.44	8795	150983	0.034	bbI	0.0		13-Apr-12	01:17:28	Batch01_045
84	84	PR01_EXAMPLE_AAC_01QC_D1	QC	QC	0.000	1.45	18901	143032	0.078	bb	0.1		13-Apr-12	01:27:53	Batch01_046
15	15	PR01_EXAMPLE_AAC_0050_A1	S35-M2-10	Analyte		1.44	34100	143009	0.141	bb	0.8		13-Apr-12	01:38:18	Batch01_047
16	16	PR01_EXAMPLE_AAC_0051_A1	S35-3mnd-10	Analyte		1.44	19282	143946	0.079	bb	0.2		13-Apr-12	01:48:43	Batch01_048
14	14	PR01_EXAMPLE_AAC_0049_A1	S35-M1-10	Analyte		1.44	20432	145228	0.083	bb	0.2		13-Apr-12	01:59:08	Batch01_049
38	38	PR01_EXAMPLE_AAC_0098_A1	S64-M2-10	Analyte		1.44	14798	146101	0.060	bbI	0.0		13-Apr-12	02:09:34	Batch01_050
39	39	PR01_EXAMPLE_AAC_0099_A1	S64-3mnd-10	Analyte		1.44	17459	143027	0.072	bb	0.1		13-Apr-12	02:20:00	Batch01_051
37	37	PR01_EXAMPLE_AAC_0097_A1	S64-M1-10	Analyte		1.44	15385	147393	0.062	bbI	0.0		13-Apr-12	02:30:25	Batch01_052
23	23	PR01_EXAMPLE_AAC_0063_A1	S45-3mnd-10	Analyte		1.43	14818	147148	0.059	bbI	0.0		13-Apr-12	02:40:50	Batch01_053
22	22	PR01_EXAMPLE_AAC_0062_A1	S45-M2-10	Analyte		1.43	16727	145160	0.068	bb	0.0		13-Apr-12	02:51:15	Batch01_054
20	20	PR01_EXAMPLE_AAC_0061_A1	S45-M1-10	Analyte		1.44	15714	144176	0.064	bb	0.0		13-Apr-12	03:01:40	Batch01_055
85	85	PR01_EXAMPLE_AAC_01QC_D2	QC	QC	0.000	1.44	18549	142803	0.077	bb	0.1		13-Apr-12	03:12:05	Batch01_056
36	36	PR01_EXAMPLE_AAC_0085_B1	S59-M1-10	Analyte		1.44	25420	143622	0.104	bb	0.4		13-Apr-12	03:22:30	Batch01_057
31	31	PR01_EXAMPLE_AAC_0077_A1	S52-M2-10	Analyte		1.44	12962	139650	0.055	bbI	0.0		13-Apr-12	03:32:56	Batch01_058
32	32	PR01_EXAMPLE_AAC_0078_A1	S52-3mnd-10	Analyte		1.44	16001	144865	0.065	bb	0.0		13-Apr-12	03:43:21	Batch01_059
30	30	PR01_EXAMPLE_AAC_0076_A1	S52-M1-10	Analyte		1.43	13806	148936	0.055	bbI	0.0		13-Apr-12	03:53:46	Batch01_060
28	28	PR01_EXAMPLE_AAC_0074_A1	S51-M2-10	Analyte		1.44	12737	149872	0.050	bbI	0.0		13-Apr-12	04:04:11	Batch01_061
27	27	PR01_EXAMPLE_AAC_0073_A1	S51-M1-10	Analyte		1.44	11688	147544	0.047	bbI	0.0		13-Apr-12	04:14:36	Batch01_062
21	21	PR01_EXAMPLE_AAC_0061_B1	S45-M1-10	Analyte		1.44	17221	146739	0.069	bb	0.1		13-Apr-12	04:25:01	Batch01_063
29	29	PR01_EXAMPLE_AAC_0075_A1	S51-3mnd-10	Analyte		1.44	11947	150195	0.047	bbI	0.0		13-Apr-12	04:35:26	Batch01_064
52	52	PR01_EXAMPLE_AAC_0140_A1	C8-10	Analyte		1.44	13017	143007	0.054	bbI	0.0		13-Apr-12	04:45:51	Batch01_065
86	86	PR01_EXAMPLE_AAC_01QC_E1	QC	QC	0.000	1.44	19505	148525	0.077	bb	0.1		13-Apr-12	04:56:16	Batch01_066
